Instance,Variant,BKS,Best_Score,Avg_Score,Std_Score,Norm%,Avg_POIs,Avg_Wait,Avg_Time(s),Avg_Gens,Conv_95%_Gen
C101,with_urgency,320,320.0,312.0,4.22,97.5,10.2,29.1,2.821,34.6,1.5
C101,no_urgency,320,320.0,313.0,4.83,97.81,10.2,25.4,2.941,36.5,3.1
C201,with_urgency,870,840.0,830.0,13.33,95.4,30.8,16.1,9.641,65.1,12.7
C201,no_urgency,870,850.0,815.0,29.53,93.68,31.4,37.3,8.566,56.3,11.7
R101,with_urgency,198,192.0,183.6,4.12,92.73,7.7,19.0,3.042,51.6,8.7
R101,no_urgency,198,187.0,183.1,2.08,92.47,7.5,14.7,2.748,46.4,8.8
R201,with_urgency,797,727.0,688.4,24.79,86.37,35.2,52.6,18.16,135.5,66.2
R201,no_urgency,797,712.0,673.3,21.98,84.48,37.2,58.4,17.918,125.5,45.7
RC101,with_urgency,219,219.0,219.0,0.0,100.0,9.9,17.0,1.557,25.1,1.0
RC101,no_urgency,219,219.0,219.0,0.0,100.0,10.0,17.6,1.511,25.0,1.0
RC201,with_urgency,795,757.0,730.5,13.11,91.89,30.2,21.7,10.557,77.3,17.1
RC201,no_urgency,795,757.0,742.0,8.71,93.33,31.4,11.5,8.952,73.9,16.5
